,48.000,1403.000
4.913,48.000,1410.000
4.919,48.000,1411.000
4.924,48.000,1411.000
4.927,48.000,1411.000
4.932,48.000,1412.000
4.935,48.000,1412.000
4.939,48.000,1412.000
4.942,48.000,1413.000
4.947,48.000,1412.000
4.950,48.000,1412.000
4.953,48.000,1411.000
4.958,48.000,1411.000
4.962,48.000,1412.000
4.965,48.000,1411.000
4.970,48.000,1413.000
4.973,48.000,1413.000
4.978,48.000,1413.000
4.982,48.000,1414.000
4.985,48.000,1414.000
4.990,48.000,1414.000
4.995,48.000,1413.000
4.999,48.000,1413.000
5.004,48.000,1414.000
5.010,48.000,1415.000
5.016,48.000,1415.000
5.024,48.000,1415.000
5.030,48.000,1416.000
5.039,48.000,1414.000
5.047,48.000,1416.000
5.056,48.000,1417.000
5.065,48.000,1417.000
5.074,48.000,1417.000
5.084,48.000,1417.000
5.091,48.000,1417.000
5.100,48.000,1416.000
5.108,48.000,1418.000
5.116,48.000,1419.000
5.125,48.000,1418.000
5.131,48.000,1418.000
5.139,48.000,1420.000
5.145,48.000,1420.000
5.151,48.000,1419.000
5.157,48.000,1420.000
5.162,48.000,1419.000
5.168,48.000,1420.000
5.173,48.000,1419.000
5.177,48.000,1419.000
5.182,48.000,1420.000
5.186,48.000,1420.000
5.191,48.000,1419.000
5.194,48.000,1420.000
5.200,48.000,1420.000
5.205,48.000,1420.000
5.209,48.000,1421.000
5.214,48.000,1421.000
5.219,48.000,1421.000
5.225,48.000,1421.000
5.231,48.000,1420.000
5.235,48.000,1420.000
5.242,48.000,1422.000
5.249,48.000,1422.000
5.255,48.000,1422.000
5.263,48.000,1423.000
5.272,48.000,1422.000
5.280,48.000,1422.000
5.291,48.000,1422.000
5.300,48.000,1423.000
5.311,48.000,1422.000
5.321,48.000,1422.000
5.332,48.000,1422.000
5.343,48.000,1423.000
5.352,48.000,1423.000
5.363,48.000,1424.000
5.372,48.000,1424.000
5.381,48.000,1423.000
5.389,48.000,1423.000
5.397,48.000,1425.000
5.404,48.000,1423.000
5.410,48.000,1424.000
5.418,48.000,1425.000
5.424,48.000,1424.000
5.432,48.000,1424.000
5.438,48.000,1424.000
5.444,48.000,1424.000
5.452,48.000,1423.000
5.458,48.000,1424.000
5.464,48.000,1425.000
5.472,48.000,1425.000
5.479,48.000,1423.000
5.486,48.000,1424.000
5.493,48.000,1424.000
5.501,48.000,1423.000
5.509,48.000,1424.000
5.518,48.000,1424.000
5.525,48.000,1423.000
5.535,48.000,1424.000
5.542,48.000,1422.000
5.550,48.000,1423.000
5.559,48.000,1424.000
5.567,48.000,1424.000
5.574,48.000,1423.000
5.584,48.000,1422.000
5.593,48.000,1423.000
5.601,48.000,1423.000
5.610,48.000,1423.000
5.619,48.000,1421.000
5.627,48.000,1422.000
5.636,48.000,1423.000
5.645,48.000,1421.000
5.654,48.000,1421.000
5.663,48.000,1421.000
5.671,48.000,1420.000
5.680,48.000,1421.000
5.688,48.000,1421.000
5.697,48.000,1419.000
5.705,48.000,1420.000
5.711,48.000,1420.000
5.719,48.000,1419.000
