.000,23644.000
32690.000,0.000,29401.000
36465.000,0.000,32441.000
39089.000,0.000,32595.000
38821.000,0.000,33230.000
38594.000,0.000,38671.000
39355.000,0.000,39782.000
36713.000,0.000,38381.000
32251.000,0.000,37927.000
32114.000,0.000,37852.000
31833.000,0.000,35235.000
29627.000,0.000,32262.000
29149.000,0.000,32199.000
31152.000,0.000,32031.000
31474.000,0.000,31270.000
31153.000,0.000,30864.000
32099.000,0.000,31592.000
32522.000,0.000,30276.000
32576.000,0.000,29161.000
34944.000,0.000,31624.000
38271.000,0.000,32544.000
39429.000,0.000,32703.000
38125.000,0.000,36598.000
39038.000,0.000,39385.000
38153.000,0.000,38778.000
32544.000,0.000,37366.000
32116.000,0.000,37993.000
32157.000,0.000,36761.000
30037.000,0.000,32544.000
29277.000,0.000,32186.000
30260.000,0.000,32179.000
31591.000,0.000,31578.000
31133.000,0.000,30812.000
31708.000,0.000,31426.000
32425.000,0.000,30807.000
32625.000,0.000,29164.000
33244.000,0.000,29954.000
37163.000,0.000,32479.000
39181.000,0.000,32566.000
38595.000,0.000,34365.000
38809.000,0.000,39034.000
39057.000,0.000,39539.000
35042.000,0.000,37833.000
32182.000,0.000,38119.000
32110.000,0.000,37545.000
31309.000,0.000,33986.000
29472.000,0.000,32193.000
29406.000,0.000,32164.000
31513.000,0.000,31824.000
31300.000,0.000,31089.000
31156.000,0.000,30873.000
32220.000,0.000,31355.000
32589.000,0.000,29998.000
32629.000,0.000,29316.000
35888.000,0.000,32267.000
38597.000,0.000,32593.000
38968.000,0.000,32850.000
38184.000,0.000,38068.000
39297.000,0.000,39738.000
37466.000,0.000,38529.000
32362.000,0.000,37606.000
32075.000,0.000,37971.000
32107.000,0.000,35948.000
29786.000,0.000,32349.000
29069.000,0.000,32170.000
30620.000,0.000,32131.000
31549.000,0.000,31407.000
31090.000,0.000,30741.000
32049.000,0.000,31593.000
32487.000,0.000,30542.000
32646.000,0.000,29196.000
34108.000,0.000,30864.000
37789.000,0.000,32566.000
39349.000,0.000,32640.000
38197.000,0.000,35297.000
39071.000,0.000,39379.000
38655.000,0.000,39182.000
33560.000,0.000,37526.000
32158.000,0.000,38132.000
32137.000,0.000,37421.000
30492.000,0.000,33116.000
29327.000,0.000,32175.000
29790.000,0.000,32166.000
31633.000,0.000,31741.000
31239.000,0.000,30983.000
31461.000,0.000,31210.000
32348.000,0.000,31038.000
32620.000,0.000,29472.000
32739.000,0.000,29514.000
36690.000,0.000,32457.000
39166.000,0.000,32583.000
38791.000,0.000,33468.000
38676.000,0.000,38877.000
39359.000,0.000,39730.000
36452.000,0.000,38265.000
32224.000,0.000,37958.000
32109.000,0.000,37832.000
31741.000,0.000,35047.000
29541.000,0.000,32262.000
29091.000,0.000,32179.000
31208.000,0.000,31930.000
31408.000,0.000,31181.000
31147.000,0.000,30854.000
32111.000,0.000,31573.000
32586.000,0.000,30181.000
32618.000,0.000,29173.000
35241.000,0.000,31824.000
38400.000,0.000,32558.000
39413.000,0.000,32696.000
38046.000,0.000,37013.000
39113.000,0.000,39419.000
37982.000,0.000,38737.000
32495.000,0.000,37475.000
32108.000,0.000,37992.000
32177.000,0.000,36651.000
29930.000,0.000,32475.000
29195.000,0.000,32181.000
30323.000,0.000,32115.000
31553.000,0.000,31488.000
31093.000,0.000,30796.000
31772.000,0.000,31487.000
32458.000,0.000,30633.000
32630.000,0.000,29100.000
33372.000,0.000,30111.000
37347.000,0.000,32498.000
39239.000,0.000,32655.000
38551.000,0.000,34604.000
38894.000,0.000,39156.000
39009.000,0.000,39492.000
34742.000,0.000,37822.000
32190.000,0.000,38166.000
32143.000,0.000,37580.000
31165.000,0.000,33780.000
29408.000,0.000,32186.000
29454.000,0.000,32142.000
31504.000,0.000,31823.000
31270.000,0.000,31015.000
31140.000,0.000,30900.000
32230.000,0.000,31326.000
32655.000,0.000,29926.000
32636.000,0.000,29354.000
36054.000,0.000,32330.000
38730.000,0.000,32588.000
38972.000,0.000,32921.000
38216.000,0.000,38270.000
39320.000,0.000,39735.000
37295.000,0.000,38423.000
32260.000,0.000,37784.000
32080.000,0.000,37965.000
32048.000,0.000,35687.000
29700.000,0.000,32322.000
29046.000,0.000,32180.000
30710.000,0.000,32097.000
31518.000,0.000,31376.000
31031.000,0.000,30731.000
32032.000,0.000,31598.000
32496.000,0.000,30452.000
32598.000,0.000,29151.000
34346.000,0.000,31080.000
37981.000,0.000,32566.000
39380.000,0.000,32610.000
38154.000,0.000,35639.000
39148.000,0.000,39465.000
38573.000,0.000,39047.000
33153.000,0.000,37533.000
32146.000,0.000,38154.000
32156.000,0.000,37367.000
30335.000,0.000,32933.000
29352.000,0.000,32180.000
29822.000,0.000,32121.000
31634.000,0.000,31655.000
31187.000,0.000,30908.000
